cell_key,kernel,shape_group,shape_json,source,model,basis,reason,default_status,seed_status,torch_compile_status,default_us,seed_us,torch_compile_us,default_vs_torch_compile,seed_vs_torch_compile,torch_compile_vs_torch_compile
rms_norm:2048x2048,rms_norm,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,10.208000428974628,9.79200005531311,9.727999567985535,0.9529779740578137,0.9934640025565717,1.0
rms_norm:2048x3584,rms_norm,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.336000196635723,13.87199992313981,15.584000386297703,1.0870535834642951,1.1234141055827223,1.0
rms_norm:2048x4096,rms_norm,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,16.367999836802483,15.728000551462173,17.823999747633934,1.0889540521351742,1.1332654579527532,1.0
rms_norm:2048x5120,rms_norm,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,20.015999674797058,18.17600056529045,19.967999309301376,0.9976019001660896,1.0985914771279768,1.0
rms_norm:2048x7168,rms_norm,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,26.688000187277794,23.679999634623528,26.11199952661991,0.9784172415836364,1.1027026997264162,1.0
rms_norm:2048x8192,rms_norm,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,30.719999223947525,26.399999856948853,28.672000393271446,0.9333333697131223,1.0860606268421842,1.0
rms_norm:128x4096,rms_norm,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,6.84799998998642,6.415999960154295,6.496000103652477,0.9485981473643897,1.0124688503732875,1.0
rms_norm:8192x4096,rms_norm,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,48.49600046873093,47.72799834609032,51.4880008995533,1.0616958182510647,1.078779808157846,1.0
layer_norm:2048x2048,layer_norm,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,10.479999706149101,10.479999706149101,14.688000082969666,1.401526764771905,1.401526764771905,1.0
layer_norm:2048x3584,layer_norm,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.527999795973301,14.015999622642994,17.72800087928772,1.2202643948412883,1.2648402794366482,1.0
layer_norm:2048x4096,layer_norm,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,16.656000167131424,15.503999777138233,18.52799952030182,1.1123918908733297,1.1950464258663556,1.0
layer_norm:2048x5120,layer_norm,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,23.360000923275948,21.056000143289566,25.71200020611286,1.1006848968269252,1.2211246215396299,1.0
layer_norm:2048x7168,layer_norm,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,28.07999961078167,25.439999997615814,29.823999851942062,1.0621082715574812,1.1723270383151378,1.0
layer_norm:2048x8192,layer_norm,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,31.231999397277832,28.303999453783035,33.984001725912094,1.088114830358063,1.2006784334985523,1.0
layer_norm:128x4096,layer_norm,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,7.2639998979866505,6.800000090152025,7.7760000713169575,1.0704846063492122,1.1435294070919801,1.0
layer_norm:8192x4096,layer_norm,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,48.128001391887665,47.968000173568726,53.199999034404755,1.10538558626646,1.1090726910003423,1.0
softmax:2048x2048,softmax,softmax,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,9.775999933481216,9.727999567985535,14.208000153303146,1.453355181053454,1.4605263964095063,1.0
