cell_key,kernel,shape_group,shape_json,source,model,basis,reason,default_status,seed_status,torch_compile_status,default_us,seed_us,torch_compile_us,default_vs_torch_compile,seed_vs_torch_compile,torch_compile_vs_torch_compile
rms_norm:2048x2048,rms_norm,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,10.27199998497963,9.664000011980534,9.952000342309475,0.9688473867661528,1.029801358647755,1.0
rms_norm:2048x3584,rms_norm,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.527999795973301,14.015999622642994,15.615999698638916,1.074889862193361,1.1141552596370725,1.0
rms_norm:2048x4096,rms_norm,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,16.3199994713068,15.615999698638916,17.983999103307724,1.1019607650678238,1.1516393090655095,1.0
rms_norm:2048x5120,rms_norm,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,19.967999309301376,18.112000077962875,20.047999918460846,1.0040064409017786,1.1068904500974206,1.0
rms_norm:2048x7168,rms_norm,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,26.784000918269157,23.77600036561489,26.11199952661991,0.9749103431671824,1.0982502996754395,1.0
rms_norm:2048x8192,rms_norm,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,31.007999554276466,26.59199945628643,29.120000079274178,0.9391125031559185,1.0950662106903029,1.0
rms_norm:128x4096,rms_norm,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,7.391999941319227,6.991999922320247,6.544000003486872,0.8852813927808263,0.9359267843520357,1.0
rms_norm:8192x4096,rms_norm,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,48.54400083422661,47.85599932074547,51.77599936723709,1.0665787425319035,1.081912406012433,1.0
layer_norm:2048x2048,layer_norm,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,10.591999627649784,10.623999871313572,14.655999839305878,1.383685834074924,1.379518073873412,1.0
layer_norm:2048x3584,layer_norm,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.399999752640724,14.047999866306782,17.216000705957413,1.1955556251173045,1.2255125903901007,1.0
layer_norm:2048x4096,layer_norm,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,16.863999888300896,15.584000386297703,18.65600049495697,1.1062618962598099,1.1971252587596402,1.0
layer_norm:2048x5120,layer_norm,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,22.975999861955643,20.59200033545494,25.18399991095066,1.096100281261365,1.2229991987514344,1.0
layer_norm:2048x7168,layer_norm,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,28.063999488949776,25.151999667286873,29.888000339269638,1.064994330228593,1.1882951946020615,1.0
layer_norm:2048x8192,layer_norm,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,31.007999554276466,27.79199928045273,33.695999532938,1.086687307059472,1.2124352477454836,1.0
layer_norm:128x4096,layer_norm,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,7.871999870985746,7.360000163316727,7.519999984651804,0.9552845665519727,1.0217391056772713,1.0
layer_norm:8192x4096,layer_norm,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,47.807998955249786,47.74399846792221,52.73599922657013,1.1030789905248524,1.1045576599957772,1.0
softmax:2048x2048,softmax,softmax,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,9.79200005531311,9.759999811649323,14.368000440299511,1.4673202981145284,1.472131221063158,1.0
softmax:2048x3584,softmax,softmax,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.655999839305878,14.431999996304512,25.21600015461445,1.7205240468813148,1.7472283925354288,1.0
softmax:2048x5120,softmax,softmax,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,32.655999064445496,21.088000386953354,29.40800040960312,0.900538989836674,1.3945371713762464,1.0
softmax:2048x8192,softmax,softmax,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,37.408001720905304,25.919999927282333,44.68800127506256,1.1946107575719251,1.724074128103133,1.0
softmax:128x4096,softmax,softmax,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed softmax sweep does not cover a small row population.,ok,ok,ok,6.6559999249875546,6.463999859988689,6.976000033318996,1.048076939894503,1.0792079493224498,1.0
softmax:8192x4096,softmax,softmax,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed softmax sweep does not cover a large row population.,ok,ok,ok,47.31199890375137,47.42399975657463,69.99999657273293,1.4795400362418976,1.4760458192484802,1.0
softmax:4096x256,softmax,softmax,"[4096, 256]",synthetic_real_regime,,short attention context,Liger treats hidden size as the softmax width and omits short attention reductions.,ok,ok,ok,9.216000325977802,7.807999849319458,8.287999778985977,0.8993054997647946,1.0614754020145576,1.0
softmax:2048x32768,softmax,softmax,"[2048, 32768]",model_anchored_supplement,,Qwen 2.5 maximum context length,Liger's softmax benchmark does not exercise a long-context reduction width.,ok,ok,ok,186.19199842214584,105.98400235176086,130.8640018105507,0.7028443913784514,1.2347524051433076,1.0
cross_entropy:2048x32000,cross_entropy,vocabulary,"[2048, 32000]",liger_model_config,llama_2_7b,,,ok,ok,ok,110.44799908995628,81.37600123882294,96.47999703884125,0.8735332268017046,1.1856074957000036,1.0
cross_entropy:2048x102400,cross_entropy,vocabulary,"[2048, 102400]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,306.2080144882202,309.87200140953064,260.71999967098236,0.8514473408109056,0.841379661553906,1.0
cross_entropy:2048x128256,cross_entropy,vocabulary,"[2048, 128256]",liger_model_config,llama_3_8b,,,ok,ok,ok,390.3680145740509,353.2159924507141,329.8240005970001,0.8449052900937255,0.9337742561105072,1.0
cross_entropy:2048x129280,cross_entropy,vocabulary,"[2048, 129280]",liger_model_config,deepseek_v3,,,ok,ok,ok,384.6080005168915,353.37600111961365,333.98398756980896,0.8683750393152334,0.9451235695452881,1.0
cross_entropy:2048x152064,cross_entropy,vocabulary,"[2048, 152064]",liger_model_config,qwen2.5,,,ok,ok,ok,474.12799298763275,409.85600650310516,387.4880075454712,0.8172645641607972,0.9454247379500964,1.0
cross_entropy:128x128256,cross_entropy,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,83.95199850201607,34.32000055909157,34.143999218940735,0.4067085933412387,0.9948717559066528,1.0
cross_entropy:8192x128256,cross_entropy,vocabulary,"[8192, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a large token population.,ok,ok,ok,1418.944001197815,1223.7600088119507,1241.1360144615173,0.874689919696479,1.0141988670363853,1.0
cross_entropy:2048x256000,cross_entropy,vocabulary,"[2048, 256000]",synthetic_real_regime,,256k-vocabulary language models,Liger's model registry tops out at 152064 and omits this common wider-vocabulary regime.,ok,ok,ok,744.1279888153076,753.1840205192566,624.4480013847351,0.8391674695355706,0.8290776017184102,1.0
kl_div:2048x32000,kl_div,vocabulary,"[2048, 32000]",liger_model_config,llama_2_7b,,,ok,ok,ok,1324.4159817695618,119.21599879860878,114.9120032787323,0.08676428317121146,0.9638975006437919,1.0
kl_div:2048x102400,kl_div,vocabulary,"[2048, 102400]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,4164.528131484985,353.2640039920807,341.47199988365173,0.08199536396501417,0.9666198537774222,1.0
kl_div:2048x128256,kl_div,vocabulary,"[2048, 128256]",liger_model_config,llama_3_8b,,,ok,ok,ok,5230.080127716064,401.19999647140503,416.159987449646,0.07957048023877597,1.0372881134342364,1.0
kl_div:2048x129280,kl_div,vocabulary,"[2048, 129280]",liger_model_config,deepseek_v3,,,ok,ok,ok,5251.199960708618,401.311993598938,416.3680076599121,0.07929006908427187,1.0375169800582156,1.0
kl_div:2048x152064,kl_div,vocabulary,"[2048, 152064]",liger_model_config,qwen2.5,,,ok,ok,ok,6165.791988372803,471.50400280952454,467.3919975757599,0.07580404892950468,0.9912789600740128,1.0
kl_div:128x128256,kl_div,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,5234.0638637542725,44.096000492572784,34.73600000143051,0.006636525824985862,0.7877358402896697,1.0
kl_div:8192x128256,kl_div,vocabulary,"[8192, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a large token population.,ok,ok,ok,5592.048168182373,1514.3840312957764,1485.040009021759,0.26556280710730235,0.9806231301521918,1.0
kl_div:2048x256000,kl_div,vocabulary,"[2048, 256000]",synthetic_real_regime,,256k-vocabulary language models,Liger's model registry tops out at 152064 and omits this common wider-vocabulary regime.,ok,ok,ok,10406.032085418701,789.5680069923401,762.8960013389587,0.07331286268163208,0.9662194954491867,1.0
jsd:2048x32000,jsd,vocabulary,"[2048, 32000]",liger_model_config,llama_2_7b,,,ok,ok,ok,1255.8399438858032,183.4239959716797,146.5280055999756,0.11667729340300372,0.7988486175091247,1.0
jsd:2048x102400,jsd,vocabulary,"[2048, 102400]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,3961.2640142440796,513.4400129318237,416.3520038127899,0.10510584558758364,0.8109068115578957,1.0
jsd:2048x128256,jsd,vocabulary,"[2048, 128256]",liger_model_config,llama_3_8b,,,ok,ok,ok,4953.136205673218,623.1359839439392,532.3679745197296,0.10748098828979638,0.8543367551176829,1.0
jsd:2048x129280,jsd,vocabulary,"[2048, 129280]",liger_model_config,deepseek_v3,,,ok,ok,ok,5026.19194984436,628.4800171852112,543.5999929904938,0.10815344865755211,0.8649439570491491,1.0
jsd:2048x152064,jsd,vocabulary,"[2048, 152064]",liger_model_config,qwen2.5,,,ok,ok,ok,5901.344060897827,738.6559844017029,635.2799832820892,0.10765005001003757,0.8600485160851351,1.0
jsd:128x128256,jsd,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,4998.672008514404,50.84799975156784,49.936000257730484,0.009989853339581559,0.982064201182088,1.0
