cell_key,kernel,shape_group,shape_json,source,model,basis,reason,default_status,seed_status,torch_compile_status,default_us,seed_us,torch_compile_us,default_vs_torch_compile,seed_vs_torch_compile,torch_compile_vs_torch_compile
rms_norm:2048x2048,rms_norm,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,10.208000428974628,9.64799989014864,10.432000271975994,1.021943557365609,1.0812604053434827,1.0
rms_norm:2048x3584,rms_norm,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.527999795973301,13.952000066637993,15.71200042963028,1.0814978421176153,1.1261468144055415,1.0
rms_norm:2048x4096,rms_norm,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,16.3199994713068,15.584000386297703,17.503999173641205,1.0725490037187848,1.1232032045527713,1.0
rms_norm:2048x5120,rms_norm,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,19.791999831795692,18.751999363303185,20.51199972629547,1.0363783296593962,1.0938566778343928,1.0
rms_norm:2048x7168,rms_norm,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,26.464000344276428,23.296000435948372,26.464000344276428,1.0,1.1359890045090948,1.0
rms_norm:2048x8192,rms_norm,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,30.719999223947525,26.319999247789383,28.704000636935234,0.9343750443378678,1.090577562966537,1.0
rms_norm:128x4096,rms_norm,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,6.688000168651342,6.304000038653612,6.351999938488007,0.9497607324027488,1.0076141972620682,1.0
rms_norm:8192x4096,rms_norm,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,48.64000156521797,47.90399968624115,51.37600004673004,1.056249966970983,1.0724782979131096,1.0
layer_norm:2048x2048,layer_norm,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,10.4479999281466,10.4160001501441,14.047999866306782,1.3445635492839054,1.3486942841597822,1.0
layer_norm:2048x3584,layer_norm,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.70400020480156,14.4640002399683,17.88800023496151,1.2165397161188982,1.2367256594432077,1.0
layer_norm:2048x4096,layer_norm,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,16.92800037562847,15.776000916957855,18.112000077962875,1.0699432700887122,1.1480729605241098,1.0
layer_norm:2048x5120,layer_norm,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,23.296000435948372,20.896000787615776,25.696000084280968,1.1030219609984693,1.2297089929049945,1.0
layer_norm:2048x7168,layer_norm,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,27.936000376939774,25.008000433444977,28.880000114440918,1.0337915136298603,1.154830438814998,1.0
layer_norm:2048x8192,layer_norm,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,31.15200065076351,28.00000086426735,30.208000913262367,0.9696969787563866,1.0788571421729058,1.0
layer_norm:128x4096,layer_norm,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,7.071999832987785,6.719999946653843,8.767999708652496,1.2398189926071002,1.3047618717643643,1.0
layer_norm:8192x4096,layer_norm,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,49.18399825692177,48.688000068068504,55.824000388383865,1.1350033012114389,1.146565895299434,1.0
softmax:2048x2048,softmax,softmax,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,9.952000342309475,9.855999611318111,14.688000082969666,1.4758842019453897,1.490259807447916,1.0
softmax:2048x3584,softmax,softmax,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,14.399999752640724,14.431999996304512,25.248000398278236,1.7533333911098274,1.7494457043197957,1.0
softmax:2048x5120,softmax,softmax,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,32.127998769283295,21.263999864459038,29.055999591946602,0.9043824920625387,1.366440922552451,1.0
softmax:2048x8192,softmax,softmax,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,38.015998899936676,26.367999613285065,39.5519994199276,1.0404040552514189,1.5,1.0
softmax:128x4096,softmax,softmax,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed softmax sweep does not cover a small row population.,ok,ok,ok,6.816000211983919,6.591999903321266,6.943999789655209,1.01877928017758,1.053398041792536,1.0
softmax:8192x4096,softmax,softmax,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed softmax sweep does not cover a large row population.,ok,ok,ok,47.37599939107895,47.439999878406525,70.25599852204323,1.4829449388939466,1.4809443234004298,1.0
softmax:4096x256,softmax,softmax,"[4096, 256]",synthetic_real_regime,,short attention context,Liger treats hidden size as the softmax width and omits short attention reductions.,ok,ok,ok,9.088000282645226,7.7760000713169575,7.584000006318092,0.8345070169947918,0.9753086338428559,1.0
softmax:2048x32768,softmax,softmax,"[2048, 32768]",model_anchored_supplement,,Qwen 2.5 maximum context length,Liger's softmax benchmark does not exercise a long-context reduction width.,ok,ok,ok,186.46400421857834,106.1440035700798,131.3599944114685,0.7044791028808146,1.237563969638099,1.0
cross_entropy:2048x32000,cross_entropy,vocabulary,"[2048, 32000]",liger_model_config,llama_2_7b,,,ok,ok,ok,110.89600250124931,81.69599995017052,98.43199700117111,0.8876063589403254,1.2048569949717063,1.0
cross_entropy:2048x102400,cross_entropy,vocabulary,"[2048, 102400]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,306.0480058193207,309.63200330734253,261.9520127773285,0.8559180514052269,0.8460107804725644,1.0
cross_entropy:2048x128256,cross_entropy,vocabulary,"[2048, 128256]",liger_model_config,llama_3_8b,,,ok,ok,ok,389.96800780296326,352.06401348114014,330.24001121520996,0.846838726786194,0.938011266615583,1.0
cross_entropy:2048x129280,cross_entropy,vocabulary,"[2048, 129280]",liger_model_config,deepseek_v3,,,ok,ok,ok,384.0320110321045,352.08000242710114,331.4560055732727,0.8630947318231852,0.9414224133388585,1.0
cross_entropy:2048x152064,cross_entropy,vocabulary,"[2048, 152064]",liger_model_config,qwen2.5,,,ok,ok,ok,473.63199293613434,408.2239866256714,388.35200667381287,0.8199446246575222,0.9513208909742962,1.0
cross_entropy:128x128256,cross_entropy,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,83.82399752736092,34.36800092458725,38.896000012755394,0.46401986495644504,1.1317504354735035,1.0
cross_entropy:8192x128256,cross_entropy,vocabulary,"[8192, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a large token population.,ok,ok,ok,1418.336033821106,1216.655969619751,1233.407974243164,0.8696161874420326,1.0137688919807368,1.0
cross_entropy:2048x256000,cross_entropy,vocabulary,"[2048, 256000]",synthetic_real_regime,,256k-vocabulary language models,Liger's model registry tops out at 152064 and omits this common wider-vocabulary regime.,ok,ok,ok,742.7040040493011,751.7279982566833,620.7039952278137,0.8357353560014078,0.8257029093864741,1.0
kl_div:2048x32000,kl_div,vocabulary,"[2048, 32000]",liger_model_config,llama_2_7b,,,ok,ok,ok,1321.5839862823486,118.72000247240067,114.43199962377548,0.08658700529935731,0.9638813783749538,1.0
kl_div:2048x102400,kl_div,vocabulary,"[2048, 102400]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,4165.199995040894,353.520005941391,341.43999218940735,0.08197445323055973,0.9658293348354765,1.0
kl_div:2048x128256,kl_div,vocabulary,"[2048, 128256]",liger_model_config,llama_3_8b,,,ok,ok,ok,5230.352163314819,400.9439945220947,415.69599509239197,0.07947763020777897,1.0367931700483028,1.0
kl_div:2048x129280,kl_div,vocabulary,"[2048, 129280]",liger_model_config,deepseek_v3,,,ok,ok,ok,5250.992059707642,401.2320041656494,416.4000004529953,0.07929930110695675,1.0378035553741216,1.0
kl_div:2048x152064,kl_div,vocabulary,"[2048, 152064]",liger_model_config,qwen2.5,,,ok,ok,ok,6165.088176727295,471.2640047073364,467.0239984989166,0.07575301197830295,0.9910029067230524,1.0
kl_div:128x128256,kl_div,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,5233.727931976318,44.08000037074089,38.975998759269714,0.0074470815575145705,0.884210490731777,1.0
kl_div:8192x128256,kl_div,vocabulary,"[8192, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a large token population.,ok,ok,ok,5576.128005981445,1506.223976612091,1478.6080121994019,0.2651675159919781,0.9816654330023314,1.0
kl_div:2048x256000,kl_div,vocabulary,"[2048, 256000]",synthetic_real_regime,,256k-vocabulary language models,Liger's model registry tops out at 152064 and omits this common wider-vocabulary regime.,ok,ok,ok,10405.840396881104,789.3920242786407,762.4959945678711,0.07327577259366871,0.9659281714489735,1.0
jsd:2048x32000,jsd,vocabulary,"[2048, 32000]",liger_model_config,llama_2_7b,,,ok,ok,ok,1257.0399641990662,183.56800079345703,146.32000029087067,0.11640043630919858,0.797088815362236,1.0
jsd:2048x102400,jsd,vocabulary,"[2048, 102400]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,3964.2720222473145,513.8719975948334,416.6879951953888,0.1051108483113557,0.8108789681976987,1.0
jsd:2048x128256,jsd,vocabulary,"[2048, 128256]",liger_model_config,llama_3_8b,,,ok,ok,ok,4958.431959152222,624.0639984607697,533.2159996032715,0.10753722225008391,0.8544251886319811,1.0
jsd:2048x129280,jsd,vocabulary,"[2048, 129280]",liger_model_config,deepseek_v3,,,ok,ok,ok,5029.280185699463,628.3519864082336,543.1360006332397,0.10799477869171478,0.8643817675152061,1.0
jsd:2048x152064,jsd,vocabulary,"[2048, 152064]",liger_model_config,qwen2.5,,,ok,ok,ok,5904.335975646973,738.6559844017029,634.9440217018127,0.10753859948361733,0.8595936878736659,1.0
jsd:128x128256,jsd,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,4971.072196960449,50.624001771211624,49.26399886608124,0.009910135462567532,0.9731352153613471,1.0
jsd:8192x128256,jsd,vocabulary,"[8192, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a large token population.,ok,ok,ok,5305.935859680176,2416.192054748535,2028.7680625915527,0.3823581958478179,0.8396551336241757,1.0
jsd:2048x256000,jsd,vocabulary,"[2048, 256000]",synthetic_real_regime,,256k-vocabulary language models,Liger's model registry tops out at 152064 and omits this common wider-vocabulary regime.,ok,ok,ok,9991.328239440918,1210.6080055236816,1026.2080430984497,0.10270987185141993,0.8476798752495737,1.0
fused_linear_jsd:2048x32000,fused_linear_jsd,vocabulary,"[2048, 32000]",liger_model_config,llama_2_7b,,,ok,ok,ok,929.5519888401031,674.239993095398,614.9759888648987,0.6615832102433206,0.9121025082501832,1.0
fused_linear_jsd:2048x102400,fused_linear_jsd,vocabulary,"[2048, 102400]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,2401.5040397644043,2514.8160457611084,2358.9919805526733,0.9822977357073688,0.9380375890828727,1.0
fused_linear_jsd:2048x128256,fused_linear_jsd,vocabulary,"[2048, 128256]",liger_model_config,llama_3_8b,,,ok,ok,ok,4281.407833099365,3126.9280910491943,3030.160069465637,0.707748522819903,0.96905332685438,1.0
fused_linear_jsd:2048x129280,fused_linear_jsd,vocabulary,"[2048, 129280]",liger_model_config,deepseek_v3,,,ok,ok,ok,3395.6639766693115,3150.0959396362305,3055.967926979065,0.8999618183588818,0.9701190013063427,1.0
fused_linear_jsd:2048x152064,fused_linear_jsd,vocabulary,"[2048, 152064]",liger_model_config,qwen2.5,,,ok,ok,ok,5231.40811920166,3821.344017982483,3588.063955307007,0.685869630804978,0.9389533992287251,1.0
fused_linear_jsd:128x128256,fused_linear_jsd,vocabulary,"[128, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a small token population.,ok,ok,ok,538.9760136604309,202.65600085258484,168.7999963760376,0.31318647230632796,0.8329385543279588,1.0
fused_linear_jsd:8192x128256,fused_linear_jsd,vocabulary,"[8192, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's fixed model sweep does not cover a large token population.,ok,ok,ok,15905.119895935059,12323.087692260742,11890.463829040527,0.7475871861914996,0.9648932253000264,1.0
fused_linear_jsd:2048x256000,fused_linear_jsd,vocabulary,"[2048, 256000]",synthetic_real_regime,,256k-vocabulary language models,Liger's model registry tops out at 152064 and omits this common wider-vocabulary regime.,ok,ok,ok,9816.320419311523,6479.759931564331,5829.7600746154785,0.5938844521768732,0.8996876637693688,1.0
grpo:2x512x32000,grpo,grpo,"[2, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,1072.0000267028809,47.55200073122978,47.15200141072273,0.04398507484719638,0.9915881705426466,1.0
grpo:4x512x32000,grpo,grpo,"[4, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,1156.8000316619873,80.20799979567528,98.63999858498573,0.08526970598649497,1.2298024989560241,1.0
grpo:8x512x32000,grpo,grpo,"[8, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,1456.272006034851,141.56799763441086,168.60799491405487,0.1157805644929906,1.1910036006122857,1.0
grpo:16x512x32000,grpo,grpo,"[16, 512, 32000]",liger_grpo_kernel,,,,ok,ok,ok,2617.8719997406006,260.5599910020828,232.04799741506577,0.08863993252460736,0.8905741688224531,1.0
grpo:4x1024x102400,grpo,grpo,"[4, 1024, 102400]",model_anchored_supplement,,DeepSeek V2 Lite vocabulary,Liger's low-level GRPO benchmark fixes both sequence length and vocabulary.,ok,ok,ok,3289.83998298645,402.0000100135803,442.9760128259659,0.1346497140033666,1.101930352715666,1.0
grpo:4x1024x128256,grpo,grpo,"[4, 1024, 128256]",model_anchored_supplement,,Llama 3 vocabulary,Liger's low-level GRPO benchmark fixes both sequence length and vocabulary.,ok,ok,ok,4078.4480571746826,514.6239995956421,660.5599820613861,0.16196356378729623,1.2835778793457184,1.0
grpo:8x1024x152064,grpo,grpo,"[8, 1024, 152064]",model_anchored_supplement,,Qwen 2.5 vocabulary,Liger's low-level GRPO benchmark fixes both sequence length and vocabulary.,ok,ok,ok,6497.776031494141,1196.0639953613281,1539.680004119873,0.2369549206770411,1.2872889829400302,1.0
grpo:4x2048x128256,grpo,grpo,"[4, 2048, 128256]",model_anchored_supplement,,Llama 3 vocabulary with a longer completion,Liger's low-level GRPO benchmark fixes the completion length at 512.,ok,ok,ok,4043.9839363098145,1035.4399681091309,1295.0719594955444,0.3202465637579445,1.2507455761636677,1.0
rms_norm_bwd:2048x2048,rms_norm_bwd,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,196.3840052485466,21.983999758958817,23.80800060927868,0.121231872112736,1.0829694719031533,1.0
rms_norm_bwd:2048x3584,rms_norm_bwd,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,681.663990020752,33.24799984693527,35.8240008354187,0.05255375281643983,1.0774783746493815,1.0
