cell_key,variant,mode,shape_name,shape_json,lengths_json,heads,dim
vanilla_linear_attn::forward::B1_T8192_H96_D128,vanilla_linear_attn,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
vanilla_linear_attn::forward_backward::B1_T8192_H96_D128,vanilla_linear_attn,forward_backward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
simple_gla::forward::B1_T8192_H96_D128,simple_gla,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
simple_gla::forward_backward::B1_T8192_H96_D128,simple_gla,forward_backward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
retention::forward::B1_T8192_H96_D128,retention,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
retention::forward_backward::B1_T8192_H96_D128,retention,forward_backward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
full_gla::forward::B1_T8192_H96_D128,full_gla,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
full_gla::forward_backward::B1_T8192_H96_D128,full_gla,forward_backward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
delta_rule::forward::B1_T8192_H96_D128,delta_rule,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
delta_rule::forward_backward::B1_T8192_H96_D128,delta_rule,forward_backward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
gated_delta_rule::forward::B1_T8192_H96_D128,gated_delta_rule,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
gated_delta_rule::forward_backward::B1_T8192_H96_D128,gated_delta_rule,forward_backward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
kda::forward::B1_T8192_H96_D128,kda,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
kda::forward_backward::B1_T8192_H96_D128,kda,forward_backward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
kda_fused::forward::B1_T8192_H96_D128,kda_fused,forward,B1_T8192_H96_D128,"[1, 96, 8192, 128, 128]",null,,
vanilla_linear_attn::forward::B2_T16384_H16_D128,vanilla_linear_attn,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
vanilla_linear_attn::forward_backward::B2_T16384_H16_D128,vanilla_linear_attn,forward_backward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
simple_gla::forward::B2_T16384_H16_D128,simple_gla,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
simple_gla::forward_backward::B2_T16384_H16_D128,simple_gla,forward_backward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
retention::forward::B2_T16384_H16_D128,retention,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
retention::forward_backward::B2_T16384_H16_D128,retention,forward_backward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
full_gla::forward::B2_T16384_H16_D128,full_gla,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
full_gla::forward_backward::B2_T16384_H16_D128,full_gla,forward_backward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
delta_rule::forward::B2_T16384_H16_D128,delta_rule,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
delta_rule::forward_backward::B2_T16384_H16_D128,delta_rule,forward_backward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
gated_delta_rule::forward::B2_T16384_H16_D128,gated_delta_rule,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
gated_delta_rule::forward_backward::B2_T16384_H16_D128,gated_delta_rule,forward_backward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
kda::forward::B2_T16384_H16_D128,kda,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
kda::forward_backward::B2_T16384_H16_D128,kda,forward_backward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
kda_fused::forward::B2_T16384_H16_D128,kda_fused,forward,B2_T16384_H16_D128,"[2, 16, 16384, 128, 128]",null,,
vanilla_linear_attn::forward::B4_T2048_H16_D128,vanilla_linear_attn,forward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
vanilla_linear_attn::forward_backward::B4_T2048_H16_D128,vanilla_linear_attn,forward_backward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
simple_gla::forward::B4_T2048_H16_D128,simple_gla,forward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
simple_gla::forward_backward::B4_T2048_H16_D128,simple_gla,forward_backward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
retention::forward::B4_T2048_H16_D128,retention,forward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
retention::forward_backward::B4_T2048_H16_D128,retention,forward_backward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
full_gla::forward::B4_T2048_H16_D128,full_gla,forward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
full_gla::forward_backward::B4_T2048_H16_D128,full_gla,forward_backward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
delta_rule::forward::B4_T2048_H16_D128,delta_rule,forward,B4_T2048_H16_D128,"[4, 16, 2048, 128, 128]",null,,
