cell_key,category,family,family_label,shape_id,dtype,source,status,base_status,torch_compile_status,expected_heuristic,heuristics_fired,compiler_seed_count,default_latency_us,seed_latency_us,torch_compile_latency_us,seed_speedup,torch_compile_speedup_vs_default,default_speedup_vs_torch_compile,seed_speedup_vs_torch_compile,default_config,seed_config,error
plain_matmul:m1_k4096_n4096,formula_matmul,plain_matmul,Plain BF16 matmul,m1_k4096_n4096,bfloat16,model-regime synthetic,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul"", ""triton_skinny_gemm""]",10,147.96799421310425,23.135999217629433,28.48000079393387,6.395573963382308,5.195505269951427,0.1924740613359726,1.2309820953067958,"{""atomic_indexing"": [], ""block_sizes"": [1, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [16, 32, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 6, ""num_warps"": 2, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
plain_matmul:m32_k4096_n11008,formula_matmul,plain_matmul,Plain BF16 matmul,m32_k4096_n11008,bfloat16,model-regime synthetic,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul"", ""triton_skinny_gemm""]",10,160.92799603939056,46.751998364925385,44.704001396894455,3.4421629377905503,3.599856634993978,0.2777888403329909,0.956194450726038,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [32, 128, 128], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 5, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
plain_matmul:m512_k4096_n4096,formula_matmul,plain_matmul,Plain BF16 matmul,m512_k4096_n4096,bfloat16,model-regime synthetic,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul"", ""triton_skinny_gemm""]",10,677.1199703216553,33.1839993596077,34.11199897527695,20.405013964225805,19.84990591763343,0.05037807252837717,1.0279652734323166,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128, 128, 64], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 6, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
plain_matmul:m4096_k4096_n11008,formula_matmul,plain_matmul,Plain BF16 matmul,m4096_k4096_n11008,bfloat16,model-regime synthetic,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul""]",9,13300.335884094238,577.3760080337524,548.8319993019104,23.035830548949175,24.233892887097813,0.04126452174476691,0.9505625305958793,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128, 256, 64], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 4, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
plain_matmul:m4096_k11008_n4096,formula_matmul,plain_matmul,Plain BF16 matmul,m4096_k11008_n4096,bfloat16,model-regime synthetic,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul""]",9,13651.648044586182,544.6079969406128,540.0000214576721,25.066925423929895,25.280828707626757,0.039555665344875285,0.9915389132939171,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128, 256, 64], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 4, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
bf16xint16_gemm:m1_k4096_n4096,formula_matmul,bf16xint16_gemm,BF16 x INT16 GEMM,m1_k4096_n4096,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul"", ""triton_skinny_gemm""]",10,148.51200580596924,25.599999353289604,28.384000062942505,5.801250373347584,5.232243710422728,0.1911225958393301,1.1087500304680733,"{""atomic_indexing"": [], ""block_sizes"": [1, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [16, 32, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 6, ""num_warps"": 2, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
bf16xint16_gemm:m32_k4096_n11008,formula_matmul,bf16xint16_gemm,BF16 x INT16 GEMM,m32_k4096_n11008,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul"", ""triton_skinny_gemm""]",10,160.38399934768677,49.47200044989586,49.12000149488449,3.2419145757026766,3.2651464671553327,0.3062649746524914,0.9928848853531228,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [32, 128, 128], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 5, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
bf16xint16_gemm:m512_k4096_n4096,formula_matmul,bf16xint16_gemm,BF16 x INT16 GEMM,m512_k4096_n4096,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul"", ""triton_skinny_gemm""]",10,680.5440187454224,63.58399987220764,57.53599852323532,10.703070271030336,11.82814300981657,0.0845441249036359,0.9048817098463809,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128, 128, 64], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 6, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
bf16xint16_gemm:m4096_k4096_n11008,formula_matmul,bf16xint16_gemm,BF16 x INT16 GEMM,m4096_k4096_n11008,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul""]",9,13297.151565551758,1135.6799602508545,597.0879793167114,11.70853764348771,22.270003795367973,0.044903449913555646,0.5257537336353313,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128, 256, 64], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 4, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
bf16xint16_gemm:m65536_k1024_n1280,formula_matmul,bf16xint16_gemm,BF16 x INT16 GEMM,m65536_k1024_n1280,bfloat16,published B200 held-out,ok,ok,ok,triton_h100_formula_matmul,"[""triton_h100_formula_matmul"", ""triton_skinny_gemm""]",9,7561.247825622559,560.1599812507629,284.43199396133423,13.498372034252242,26.58367548711991,0.03761707069003725,0.5077692150128885,"{""atomic_indexing"": [], ""block_sizes"": [16, 16, 16], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [1], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 1, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}","{""atomic_indexing"": [], ""block_sizes"": [128, 256, 64], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [2], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 4, ""num_warps"": 8, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": []}",
