cell_key,kernel,shape_json,default_status,seed_status,aot_tuned_status,vllm_cuda_status,default_us,seed_us,aot_tuned_us,vllm_cuda_us,default_vs_vllm_cuda,seed_vs_vllm_cuda,aot_tuned_vs_vllm_cuda,vllm_cuda_vs_vllm_cuda
"dynamic_per_token_scaled_fp8_quant::hidden_size=2048,num_tokens=1",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 2048, ""num_tokens"": 1}",ok,ok,ok,ok,13.60000018030405,5.98399993032217,5.8559998869895935,6.640000035986304,0.4882352902908459,1.1096256873834582,1.133879809447835,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=4096,num_tokens=1",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 4096, ""num_tokens"": 1}",ok,ok,ok,ok,21.023999899625778,6.271999794989824,6.111999973654747,6.912000011652708,0.3287671254115512,1.102040854206361,1.1308900591371551,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=2048,num_tokens=4",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 2048, ""num_tokens"": 4}",ok,ok,ok,ok,13.728000223636627,6.144000217318535,5.98399993032217,6.783999968320131,0.49417248381447143,1.1041666224551203,1.1336898474788066,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=4096,num_tokens=4",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 4096, ""num_tokens"": 4}",ok,ok,ok,ok,22.175999358296394,6.432000081986189,6.399999838322401,7.040000054985285,0.3174603291261148,1.0945273577812746,1.100000036379789,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=2048,num_tokens=16",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 2048, ""num_tokens"": 16}",ok,ok,ok,ok,13.856000266969204,6.240000016987324,6.1599998734891415,6.87999976798892,0.4965357704553378,1.1025640623812993,1.1168831021569416,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=4096,num_tokens=16",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 4096, ""num_tokens"": 16}",ok,ok,ok,ok,21.935999393463135,6.271999794989824,6.271999794989824,6.912000011652708,0.31509847751511444,1.102040854206361,1.102040854206361,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=2048,num_tokens=64",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 2048, ""num_tokens"": 64}",ok,ok,ok,ok,13.903999701142311,6.816000211983919,6.207999773323536,6.816000211983919,0.49021866790057084,1.0,1.0979382185664743,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=4096,num_tokens=64",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 4096, ""num_tokens"": 64}",ok,ok,ok,ok,23.00800010561943,6.6559999249875546,6.688000168651342,7.360000163316727,0.31988873998306067,1.1057692677679063,1.1004784655681155,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=2048,num_tokens=256",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 2048, ""num_tokens"": 256}",ok,ok,ok,ok,14.800000004470348,6.719999946653843,6.6559999249875546,7.552000228315592,0.510270285542872,1.1238095667063264,1.1346154317046078,1.0
"dynamic_per_token_scaled_fp8_quant::hidden_size=4096,num_tokens=256",dynamic_per_token_scaled_fp8_quant,"{""hidden_size"": 4096, ""num_tokens"": 256}",ok,ok,ok,ok,23.93599972128868,8.48000030964613,7.968000136315823,8.960000239312649,0.3743315651588859,1.0566037632239837,1.1244980027642795,1.0
